Sep 04 17:54:32.470 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - Games - [HDM] (TOSEC-v2018-07-01_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - Games - [HDM] (TOSEC-v2018-07-01_CM).dat, platform_id: FUJITSU_FMT
Sep 04 17:54:32.476 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - Operating Systems - [BIN] (TOSEC-v2011-02-07_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - Operating Systems - [BIN] (TOSEC-v2011-02-07_CM).dat, platform_id: FUJITSU_FMT
Sep 04 17:54:32.477 INFO FUJITSU_FMT: dats\FUJITSU_FMT\Fujitsu FM Towns - Operating Systems - [HDM] (TOSEC-v2021-12-11_CM).dat, path: dats\FUJITSU_FMT\Fujitsu FM Towns - Operating Systems - [HDM] (TOSEC-v2021-12-11_CM).dat, platform_id: FUJITSU_FMT
Sep 04 17:54:32.480 INFO GCE_VECTREX: dats\GCE_VECTREX\GCE - Vectrex (20260525-000205).dat, path: dats\GCE_VECTREX\GCE - Vectrex (20260525-000205).dat, platform_id: GCE_VECTREX
Sep 04 17:54:32.482 INFO GCE_VECTREX: dats\GCE_VECTREX\GCE - Vectrex (Private) (20260525-000205).dat, path: dats\GCE_VECTREX\GCE - Vectrex (Private) (20260525-000205).dat, platform_id: GCE_VECTREX
Sep 04 17:54:32.484 INFO GCE_VECTREX: dats\GCE_VECTREX\GCE Vectrex - Compilations (TOSEC-v2012-02-27_CM).dat, path: dats\GCE_VECTREX\GCE Vectrex - Compilations (TOSEC-v2012-02-27_CM).dat, platform_id: GCE_VECTREX
Sep 04 17:54:32.490 INFO GCE_VECTREX: dats\GCE_VECTREX\GCE Vectrex - Demos - Music (TOSEC-v2012-02-27_CM).dat, path: dats\GCE_VECTREX\GCE Vectrex - Demos - Music (TOSEC-v2012-02-27_CM).dat, platform_id: GCE_VECTREX
Sep 04 17:54:32.494 INFO GCE_VECTREX: dats\GCE_VECTREX\GCE Vectrex - Demos - Slideshows (TOSEC-v2012-02-27_CM).dat, path: dats\GCE_VECTREX\GCE Vectrex - Demos - Slideshows (TOSEC-v2012-02-27_CM).dat, platform_id: GCE_VECTREX
Sep 04 17:54:32.498 INFO GCE_VECTREX: dats\GCE_VECTREX\GCE Vectrex - Demos - Various (TOSEC-v2025-01-15_CM).dat, path: dats\GCE_VECTREX\GCE Vectrex - Demos - Various (TOSEC-v2025-01-15_CM).dat, platform_id: GCE_VECTREX
Sep 04 17:54:32.500 INFO GCE_VECTREX: dats\GCE_VECTREX\GCE Vectrex - Firmware (TOSEC-v2012-02-27_CM).dat, path: dats\GCE_VECTREX\GCE Vectrex - Firmware (TOSEC-v2012-02-27_CM).dat, platform_id: GCE_VECTREX
