Apr 04 00:25:36.393 INFO COLECO_CV: dats/COLECO_CV/Coleco ColecoVision - Games (TOSEC-v2015-05-07_CM).dat, path: dats/COLECO_CV/Coleco ColecoVision - Games (TOSEC-v2015-05-07_CM).dat, platform_id: COLECO_CV
Apr 04 00:25:36.411 INFO COLECO_CV: dats/COLECO_CV/Coleco ColecoVision - Demos (TOSEC-v2015-05-07_CM).dat, path: dats/COLECO_CV/Coleco ColecoVision - Demos (TOSEC-v2015-05-07_CM).dat, platform_id: COLECO_CV
Apr 04 00:25:36.414 INFO COLECO_CV: dats/COLECO_CV/Coleco - ColecoVision (20200926-011306).dat, path: dats/COLECO_CV/Coleco - ColecoVision (20200926-011306).dat, platform_id: COLECO_CV
Apr 04 00:25:36.432 INFO NINTENDO_GBC: dats/NINTENDO_GBC/Nintendo - Game Boy Color (20210402-061636).dat, path: dats/NINTENDO_GBC/Nintendo - Game Boy Color (20210402-061636).dat, platform_id: NINTENDO_GBC
Apr 04 00:25:36.484 INFO NINTENDO_GBC: dats/NINTENDO_GBC/Nintendo Game Boy Color - Firmware (TOSEC-v2011-09-27_CM).dat, path: dats/NINTENDO_GBC/Nintendo Game Boy Color - Firmware (TOSEC-v2011-09-27_CM).dat, platform_id: NINTENDO_GBC
Apr 04 00:25:36.486 INFO NINTENDO_GBC: dats/NINTENDO_GBC/Nintendo Game Boy Color - Games (TOSEC-v2020-07-12_CM).dat, path: dats/NINTENDO_GBC/Nintendo Game Boy Color - Games (TOSEC-v2020-07-12_CM).dat, platform_id: NINTENDO_GBC
Apr 04 00:25:36.489 INFO NINTENDO_GBC: dats/NINTENDO_GBC/Nintendo Game Boy Color - Demos (TOSEC-v2014-07-01_CM).dat, path: dats/NINTENDO_GBC/Nintendo Game Boy Color - Demos (TOSEC-v2014-07-01_CM).dat, platform_id: NINTENDO_GBC
Apr 04 00:25:36.679 INFO NINTENDO_GBC: dats/NINTENDO_GBC/OpenGBx.GBC.dat, path: dats/NINTENDO_GBC/OpenGBx.GBC.dat, platform_id: NINTENDO_GBC
Apr 04 00:25:36.848 INFO ATARI_LYNX: dats/ATARI_LYNX/OpenLynx.dat, path: dats/ATARI_LYNX/OpenLynx.dat, platform_id: ATARI_LYNX
Apr 04 00:25:36.865 INFO ATARI_LYNX: dats/ATARI_LYNX/Atari Lynx - Games (TOSEC-v2013-12-13_CM).dat, path: dats/ATARI_LYNX/Atari Lynx - Games (TOSEC-v2013-12-13_CM).dat, platform_id: ATARI_LYNX
Apr 04 00:25:36.887 INFO ATARI_LYNX: dats/ATARI_LYNX/Atari Lynx - Demos (TOSEC-v2013-12-13_CM).dat, path: dats/ATARI_LYNX/Atari Lynx - Demos (TOSEC-v2013-12-13_CM).dat, platform_id: ATARI_LYNX
Apr 04 00:25:36.893 INFO ATARI_LYNX: dats/ATARI_LYNX/Atari Lynx - Applications (TOSEC-v2013-12-13_CM).dat, path: dats/ATARI_LYNX/Atari Lynx - Applications (TOSEC-v2013-12-13_CM).dat, platform_id: ATARI_LYNX
Apr 04 00:25:36.894 INFO ATARI_LYNX: dats/ATARI_LYNX/Atari - Lynx (20201108-203053).dat, path: dats/ATARI_LYNX/Atari - Lynx (20201108-203053).dat, platform_id: ATARI_LYNX
Apr 04 00:25:36.897 INFO ATARI_LYNX: dats/ATARI_LYNX/Atari Lynx - Firmware (TOSEC-v2013-12-13_CM).dat, path: dats/ATARI_LYNX/Atari Lynx - Firmware (TOSEC-v2013-12-13_CM).dat, platform_id: ATARI_LYNX
Apr 04 00:25:36.897 INFO NINTENDO_NES: dats/NINTENDO_NES/Nintendo Famicom & Entertainment System - Demos - [UNF] (TOSEC-v2011-02-22_CM).dat, path: dats/NINTENDO_NES/Nintendo Famicom & Entertainment System - Demos - [UNF] (TOSEC-v2011-02-22_CM).dat, platform_id: NINTENDO_NES
Apr 04 00:25:36.898 INFO NINTENDO_NES: dats/NINTENDO_NES/Nintendo Famicom & Entertainment System - Firmware (TOSEC-v2011-02-22_CM).dat, path: dats/NINTENDO_NES/Nintendo Famicom & Entertainment System - Firmware (TOSEC-v2011-02-22_CM).dat, platform_id: NINTENDO_NES
Apr 04 00:25:36.922 INFO NINTENDO_NES: dats/NINTENDO_NES/Nintendo - Nintendo Entertainment System (20210331-052847).dat, path: dats/NINTENDO_NES/Nintendo - Nintendo Entertainment System (20210331-052847).dat, platform_id: NINTENDO_NES
Apr 04 00:25:37.026 INFO NINTENDO_NES: dats/NINTENDO_NES/Nintendo Famicom & Entertainment System - Applications - [UNF] (TOSEC-v2011-02-22_CM).dat, path: dats/NINTENDO_NES/Nintendo Famicom & Entertainment System - Applications - [UNF] (TOSEC-v2011-02-22_CM).dat, platform_id: NINTENDO_NES
Apr 04 00:25:37.028 INFO NINTENDO_NES: dats/NINTENDO_NES/Nintendo Famicom & Entertainment System - Games - [UNF] (TOSEC-v2011-02-22_CM).dat, path: dats/NINTENDO_NES/Nintendo Famicom & Entertainment System - Games - [UNF] (TOSEC-v2011-02-22_CM).dat, platform_id: NINTENDO_NES
