Aug 16 23:59:14.062 INFO SNK_NGPC: dats/SNK_NGPC/SNK Neo-Geo Pocket Color - Educational (TOSEC-v2011-08-13_CM).dat, path: dats/SNK_NGPC/SNK Neo-Geo Pocket Color - Educational (TOSEC-v2011-08-13_CM).dat, platform_id: SNK_NGPC
Aug 16 23:59:14.063 INFO SNK_NGPC: dats/SNK_NGPC/SNK Neo-Geo Pocket Color - Demos (TOSEC-v2014-07-01_CM).dat, path: dats/SNK_NGPC/SNK Neo-Geo Pocket Color - Demos (TOSEC-v2014-07-01_CM).dat, platform_id: SNK_NGPC
Aug 16 23:59:14.073 INFO SNK_NGPC: dats/SNK_NGPC/SNK Neo-Geo Pocket Color - Games (TOSEC-v2020-07-12_CM).dat, path: dats/SNK_NGPC/SNK Neo-Geo Pocket Color - Games (TOSEC-v2020-07-12_CM).dat, platform_id: SNK_NGPC
Aug 16 23:59:14.081 INFO SNK_NGPC: dats/SNK_NGPC/SNK Neo-Geo Pocket Color - Firmware (TOSEC-v2011-08-13_CM).dat, path: dats/SNK_NGPC/SNK Neo-Geo Pocket Color - Firmware (TOSEC-v2011-08-13_CM).dat, platform_id: SNK_NGPC
Aug 16 23:59:14.081 INFO SEGA_GG: dats/SEGA_GG/Sega Game Gear - Firmware (TOSEC-v2011-12-19_CM).dat, path: dats/SEGA_GG/Sega Game Gear - Firmware (TOSEC-v2011-12-19_CM).dat, platform_id: SEGA_GG
Aug 16 23:59:14.082 INFO SEGA_GG: dats/SEGA_GG/Sega Game Gear - Demos (TOSEC-v2017-09-03_CM).dat, path: dats/SEGA_GG/Sega Game Gear - Demos (TOSEC-v2017-09-03_CM).dat, platform_id: SEGA_GG
Aug 16 23:59:14.088 INFO SEGA_GG: dats/SEGA_GG/Sega - Game Gear (20200302-200516).dat, path: dats/SEGA_GG/Sega - Game Gear (20200302-200516).dat, platform_id: SEGA_GG
Aug 16 23:59:14.112 INFO SEGA_GG: dats/SEGA_GG/Sega Game Gear - Educational (TOSEC-v2011-06-20_CM).dat, path: dats/SEGA_GG/Sega Game Gear - Educational (TOSEC-v2011-06-20_CM).dat, platform_id: SEGA_GG
Aug 16 23:59:14.144 INFO SEGA_GG: dats/SEGA_GG/Sega Game Gear - Games (TOSEC-v2017-09-03_CM).dat, path: dats/SEGA_GG/Sega Game Gear - Games (TOSEC-v2017-09-03_CM).dat, platform_id: SEGA_GG
Aug 16 23:59:14.172 INFO SEGA_GG: dats/SEGA_GG/Sega Game Gear - Samplers (TOSEC-v2011-06-20_CM).dat, path: dats/SEGA_GG/Sega Game Gear - Samplers (TOSEC-v2011-06-20_CM).dat, platform_id: SEGA_GG
Aug 16 23:59:14.172 INFO SEGA_GG: dats/SEGA_GG/Sega Game Gear - Applications (TOSEC-v2017-09-03_CM).dat, path: dats/SEGA_GG/Sega Game Gear - Applications (TOSEC-v2017-09-03_CM).dat, platform_id: SEGA_GG
Aug 16 23:59:14.172 INFO ATARI_LYNX: dats/ATARI_LYNX/Atari Lynx - Firmware (TOSEC-v2013-12-13_CM).dat, path: dats/ATARI_LYNX/Atari Lynx - Firmware (TOSEC-v2013-12-13_CM).dat, platform_id: ATARI_LYNX
Aug 16 23:59:14.178 INFO ATARI_LYNX: dats/ATARI_LYNX/Atari Lynx - Demos (TOSEC-v2013-12-13_CM).dat, path: dats/ATARI_LYNX/Atari Lynx - Demos (TOSEC-v2013-12-13_CM).dat, platform_id: ATARI_LYNX
Aug 16 23:59:14.191 INFO ATARI_LYNX: dats/ATARI_LYNX/Atari Lynx - Games (TOSEC-v2013-12-13_CM).dat, path: dats/ATARI_LYNX/Atari Lynx - Games (TOSEC-v2013-12-13_CM).dat, platform_id: ATARI_LYNX
Aug 16 23:59:14.201 INFO ATARI_LYNX: dats/ATARI_LYNX/Atari Lynx - Applications (TOSEC-v2013-12-13_CM).dat, path: dats/ATARI_LYNX/Atari Lynx - Applications (TOSEC-v2013-12-13_CM).dat, platform_id: ATARI_LYNX
Aug 16 23:59:14.202 INFO ATARI_LYNX: dats/ATARI_LYNX/Atari - Lynx (20191130-205105).dat, path: dats/ATARI_LYNX/Atari - Lynx (20191130-205105).dat, platform_id: ATARI_LYNX
Aug 16 23:59:14.226 INFO NINTENDO_GBA: dats/NINTENDO_GBA/Nintendo - Game Boy Advance (20200809-024131).dat, path: dats/NINTENDO_GBA/Nintendo - Game Boy Advance (20200809-024131).dat, platform_id: NINTENDO_GBA
Aug 16 23:59:14.339 INFO NINTENDO_GBA: dats/NINTENDO_GBA/Nintendo Game Boy Advance - Demos (TOSEC-v2012-04-13_CM).dat, path: dats/NINTENDO_GBA/Nintendo Game Boy Advance - Demos (TOSEC-v2012-04-13_CM).dat, platform_id: NINTENDO_GBA
Aug 16 23:59:14.339 INFO NINTENDO_GBA: dats/NINTENDO_GBA/Nintendo Game Boy Advance - Applications (TOSEC-v2011-06-20_CM).dat, path: dats/NINTENDO_GBA/Nintendo Game Boy Advance - Applications (TOSEC-v2011-06-20_CM).dat, platform_id: NINTENDO_GBA
Aug 16 23:59:14.340 INFO NINTENDO_GBA: dats/NINTENDO_GBA/Nintendo - Game Boy Advance (Multiboot) (20200522-232059).dat, path: dats/NINTENDO_GBA/Nintendo - Game Boy Advance (Multiboot) (20200522-232059).dat, platform_id: NINTENDO_GBA
Aug 16 23:59:14.348 INFO NINTENDO_GBA: dats/NINTENDO_GBA/Nintendo Game Boy Advance - Games (TOSEC-v2020-07-12_CM).dat, path: dats/NINTENDO_GBA/Nintendo Game Boy Advance - Games (TOSEC-v2020-07-12_CM).dat, platform_id: NINTENDO_GBA
Aug 16 23:59:14.404 INFO NINTENDO_WII: dats/NINTENDO_WII/Nintendo - Wii - Datfile (3624) (2020-08-13 22-29-27).dat, path: dats/NINTENDO_WII/Nintendo - Wii - Datfile (3624) (2020-08-13 22-29-27).dat, platform_id: NINTENDO_WII
Aug 16 23:59:14.575 INFO NINTENDO_WII: dats/NINTENDO_WII/Nintendo - Wii (Digital) (WAD) (20200618-091332).dat, path: dats/NINTENDO_WII/Nintendo - Wii (Digital) (WAD) (20200618-091332).dat, platform_id: NINTENDO_WII
Aug 16 23:59:14.719 INFO NINTENDO_WII: dats/NINTENDO_WII/Nintendo - Wii (Digital) (Split DLC) (WAD) (20190825-031431).dat, path: dats/NINTENDO_WII/Nintendo - Wii (Digital) (Split DLC) (WAD) (20190825-031431).dat, platform_id: NINTENDO_WII
